,8,2,,5,4,5,high,5,0
,8,3,,5,4,5,high,5,0
,8,4,,5,4,5,high,5,0
,8,5,,5,4,5,high,5,0
,8,6,2,5,3,5,high,5,0
,8,7,,5,3,5,high,5,0
,8,8,3,4,2,4,high,4,0
,8,9,,4,2,3,medium,3.5,1
,8,10,4,2,2,1,low,1.5,1
,8,11,5,4,2,3,medium,3.5,1
,8,12,,4,2,3,medium,3.5,1
,8,13,,4,2,3,medium,3.5,1
,9,1,1,5,5,4,high,4.5,1
,9,2,,3,5,4,medium,3.5,1
,9,3,2,3,3,3,medium,3,0
,9,4,,3,3,3,medium,3,0
,9,5,3,1,4,2,low,1.5,1
,9,6,4,3,3,4,medium,3.5,1
,9,7,,3,3,4,medium,3.5,1
,10,1,1,4,5,4,high,4,0
,10,2,,4,5,3,medium,3.5,1
,10,3,,4,5,5,high,4.5,1
,10,4,,5,5,5,high,5,0
,10,5,,5,5,5,high,5,0
,10,6,2,4,3,5,high,4.5,1
,10,7,,3,3,3,medium,3,0
,10,8,,3,3,3,medium,3,0
,11,1,1,2,2,2,low,2,0
,11,2,,2,2,2,low,2,0
,11,3,2,2,5,1,low,1.5,1
,11,4,,2,5,1,low,1.5,1
,11,5,3,3,5,1,low,2,2
,11,6,4,4,5,3,medium,3.5,1
,11,7,,4,5,3,medium,3.5,1
,11,8,,3,5,2,medium,2.5,1
,11,9,,3,5,2,medium,2.5,1
,11,10,5,3,5,3,medium,3,0
,11,11,,3,5,3,medium,3,0
good example,12,1,1,1,3,1,low,1,0
,12,2,,1,3,1,low,1,0
,12,3,2,5,4,2,medium,3.5,3
,12,4,,5,5,2,medium,3.5,3
,13,1,1,2,3,3,medium,2.5,1
,13,2,,2,3,3,medium,2.5,1
,13,3,2,4,4,5,high,4.5,1
,13,4,3,3,5,3,medium,3,0
,13,5,,3,5,3,medium,3,0
,13,6,5,3,4,4,medium,3.5,1
,13,7,,3,4,4,medium,3.5,1
,13,8,6,1,4,2,low,1.5,1
,14,1,1,3,4,5,high,4,2
,14,2,,4,4,5,high,4.5,1
,14,3,2,4,3,3,medium,3.5,1
,14,4,,4,3,3,medium,3.5,1
,14,5,4,2,4,1,low,1.5,1
,14,6,5,3,4,3,medium,3,0
,14,7,,3,4,3,medium,3,0
,14,8,,3,4,4,medium,3.5,1
,14,9,,2,4,2,low,2,0
,14,10,6,4,3,4,high,4,0
,14,11,,4,3,5,high,4.5,1
,14,12,,3,3,5,high,4,2
,14,13,,3,3,5,high,4,2
,14,14,7,1,2,1,low,1,0
,15,1,1,3,4,3,medium,3,0
,15,2,,2,4,1,low,1.5,1
,15,3,,3,4,3,medium,3,0
,15,4,,4,4,3,medium,3.5,1
,15,5,,3,4,3,medium,3,0
,15,6,2,3,2,3,medium,3,0
,16,1,1,5,4,4,high,4.5,1
,16,2,,5,4,4,high,4.5,1
,16,3,,5,4,4,high,4.5,1
,16,4,2,2,3,2,low,2,0
,16,5,3,3,3,4,medium,3.5,1
,16,6,,3,3,4,medium,3.5,1
,16,7,4,1,2,2,low,1.5,1
,16,8,,3,2,4,medium,3.5,1
,16,9,5,3,2,4,medium,3.5,1
,16,10,,2,2,2,low,2,0
,17,1,1,4,1,5,high,4.5,1
,17,2,,1,1,1,low,1,0
,17,3,2,3,2,4,medium,3.5,1
,17,4,,3,2,3,medium,3,0
,17,5,3,3,3,3,medium,3,0
,17,6,,3,3,3,medium,3,0
,17,7,,3,3,3,medium,3,0
,17,8,4,3,4,4,medium,3.5,1
,17,9,5,3,2,3,medium,3,0
,17,10,,3,2,3,medium,3,0
,17,11,,3,2,3,medium,3,0
,17,12,,3,2,3,medium,3,0
,17,13,,3,2,4,medium,3.5,1
,17,14,,3,2,4,medium,3.5,1
,17,15,5,3,3,4,medium,3.5,1
,17,16,,3,3,4,medium,3.5,1
,18,1,1,4,3,4,high,4,0
,18,2,,4,3,4,high,4,0
,18,3,2,1,1,1,low,1,0
,18,4,,1,1,1,low,1,0
,18,5,3,1,1,2,low,1.5,1
,18,6,,1,1,2,low,1.5,1
,18,7,4,4,4,4,high,4,0
,18,8,,4,4,4,high,4,0
,18,9,,3,4,4,medium,3.5,1
,18,10,5,3,3,4,medium,3.5,1
,18,11,,3,3,4,medium,3.5,1
,19,1,1,2,3,3,medium,2.5,1
,19,2,,2,3,3,medium,2.5,1
,19,3,2,4,2,4,high,4,0
,19,4,,4,2,4,high,4,0
,19,5,3,4,2,4,high,4,0
,19,6,,4,2,4,high,4,0
,19,7,4,2,2,2,low,2,0
,19,8,,2,2,2,low,2,0
,19,9,5,3,2,3,medium,3,0
,19,10,,3,2,3,medium,3,0
,19,11,,2,2,2,low,2,0
,20,1,1,3,1,3,medium,3,0
,20,2,,3,1,3,medium,3,0
,20,3,2,5,5,4,high,4.5,1
,20,4,,5,5,4,high,4.5,1
,20,5,3,3,2,3,medium,3,0
,20,6,,3,2,3,medium,3,0
,20,7,4,5,4,5,high,5,0
,20,8,,5,4,5,high,5,0
,20,9,5,3,3,3,medium,3,0
,20,10,,3,3,5,high,4,2
,21,1,1,1,1,1,low,1,0
,21,2,2,3,1,3,medium,3,0
,21,3,,3,1,3,medium,3,0
,21,4,3,2,1,3,medium,2.5,1
,21,5,,2,1,3,medium,2.5,1
,22,1,1,3,1,4,medium,3.5,1
,22,2,,3,1,4,medium,3.5,1
,22,3,2,2,3,2,low,2,0
,22,4,,2,3,2,low,2,0
,22,5,3,4,4,4,high,4,0
,22,6,,3,4,2,medium,2.5,1
,22,7,4,2,3,2,low,2,0
