,experimentid,N,Aggrecan.RNA.mean,Aggrecan.RNA.sd,Aggrecan.RNA.se,Aggrecan.RNA.CV,GAPDH.RNA.mean,GAPDH.RNA.sd,GAPDH.RNA.se,GAPDH.RNA.CV,Osteopontin.RNA.mean,Ostepontin.RNA.sd,Osteopontin.RNA.se,Osteopontin.RNA.CV,LPL.RNA.mean,LPL.RNA.sd,LPL.RNA.se,LPL.RNA.CV,AggperGAPDH.RNA.mean,AggperGAPDH.RNA.sd,AggperGAPDH.RNA.se,AggperGAPDH.RNA.CV,AggGAPDH.RNA.cor,GAPDH.RNA.range,cy.RNA.range,AggGAPDH.RNA.corsquared,X,Cell.Type,Clone,Substrate,Loading,Media,Donor,Days.CM,Passage,Stain,Purpose,Date.FISHed,Date.Imaged,Good.,Data.Processed.,FISHed.Processed.By,Notes,GFP.dye,GFP.type,GFP.target,alexa.dye,alexa.target,TMR.dye,TMR.target,cy.dye,cy.target,nir.dye,nir.target,dapi.dye,dapi.target
11,A117,55,214.9818182,124.8709691,16.83759804,0.580844325,237,118.4495517,15.97173429,0.499787138,101.0181818,88.61224121,11.94847217,0.877191013,1.036363636,3.691650421,0.497782041,3.562118827,1.206517097,1.262575298,0.170245618,1.046462832,0.134836316,528,552,0.018180832,221,chondrocyte,het,agarose,static,basal,3,14,5,FixDead,chondrocyte redifferentiation core,7/15/14,7/16/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
12,A12,105,247.5428571,170.9180544,16.67989418,0.690458438,472.4190476,214.476903,20.93080253,0.453997154,189.2952381,155.0153171,15.12794593,0.818907642,1.657142857,2.433059847,0.237442328,1.46822577,0.601351305,0.443163318,0.043248311,0.736945799,0.186262627,1051,794,0.034693766,89,MSC,het,agarose,static,CM+,3,1,NA,,MSCs het differentiation in gels core,2/4/14,2/5/14,,y AC,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
13,A120,74,159.0540541,78.21692559,9.09253291,0.491763169,76.47297297,79.08036886,9.192906151,1.034095652,20.39189189,36.18363271,4.206261863,1.774412737,0.27027027,0.727112836,0.08452515,2.690317494,3.589779847,3.162307122,0.367610736,0.880919515,0.310239135,429,375,0.096248321,224,chondrocyte,het,agarose,static,basal,3,14,0,AlcianBlue,Alcian Blue FISH test,8/6/14,8/7/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
14,A13,99,55.03030303,73.06754696,7.343564777,1.327769301,138.7474747,98.33681639,9.88322191,0.708746711,58.1010101,78.79364614,7.919059398,1.356149334,4.202020202,5.799331063,0.582854702,1.380129267,0.801335713,1.618828574,0.162698393,2.02016277,-0.1943446,632,296,0.037769823,90,MSC,het,agarose,static,CM-,3,4,NA,,MSCs het differentiation in gels core,3/6/14,3/7/14,,y AC,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
15,A14,128,435.1328125,223.9758624,19.79685639,0.514729885,420.703125,196.5306716,17.37102132,0.467148114,155.7734375,132.0217242,11.66918206,0.847523983,0.9375,1.215062942,0.107397406,1.296067138,1.141902197,0.619019899,0.054714146,0.542095374,0.563638064,1035,1241,0.317687868,91,MSC,het,agarose,static,CM+,3,4,NA,,MSCs het differentiation in gels core,2/19/14,2/20/14,,y AC,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
16,A15,106,40.37735849,66.29392744,6.439035449,1.641858951,122.6981132,75.63007336,7.345842102,0.616391494,53.68867925,62.42700319,6.063446563,1.162759153,6.547169811,7.305747347,0.709596911,1.115863428,0.593990992,1.227531489,0.119228398,2.066582669,-0.165506385,353,288,0.027392363,92,MSC,het,agarose,static,CM-,3,7,NA,,MSCs het differentiation in gels core,2/12/14,2/14/14,,y AC,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
17,A17,118,20.59322034,49.84389945,4.588502869,2.420403348,212,154.1399076,14.18972865,0.727075036,61.02542373,88.90583339,8.18444536,1.456865483,8.016949153,16.13033615,1.484917804,2.012029245,0.306015353,1.059075185,0.097495773,3.460856375,-0.256205538,1059,316,0.065641278,94,MSC,het,agarose,static,CM-,3,14,NA,,MSCs het differentiation in gels core,3/11/14,3/12/14,,y AC,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
18,A18,93,359.5053763,222.3246072,23.05398782,0.618418032,202.2473118,97.93139301,10.1550124,0.484216043,123.483871,121.4877533,12.59769316,0.983834992,0.279569892,0.614420749,0.063712464,2.197735755,2.136425451,2.543453745,0.263743867,1.19051837,0.337017959,453,1167,0.113581105,95,MSC,het,agarose,static,CM+,3,14,NA,,MSCs het differentiation in gels core,2/26/14,2/27/14,,y AC,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
19,A19,109,32.32110092,71.60745367,6.858750134,2.215501689,177.9908257,126.1039765,12.07857033,0.708485822,70.34862385,117.2876628,11.23412064,1.667234644,11.90825688,17.25062601,1.652310303,1.4486273,0.348990199,0.757597802,0.072564709,2.170828308,-0.091398866,826,441,0.008353753,96,MSC,het,agarose,static,CM-,3,21,NA,,MSCs het differentiation in gels core,3/3/14,3/4/14,,y AC,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
20,A20,79,334.1392405,240.6231085,27.07221481,0.720128256,269.2911392,176.4813604,19.85570433,0.655355244,91.69620253,140.9737523,15.8607863,1.537400115,0.278481013,0.59778885,0.0672565,2.146605416,1.585242204,1.499255498,0.168679422,0.945758001,0.462208698,862,1191,0.213636881,97,MSC,het,agarose,static,CM+,3,21,NA,,MSCs het differentiation in gels core,2/25/14,2/26/14,,y AC,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
21,A21,103,503.6504854,275.6555363,27.16114706,0.547315141,411.0194175,251.77764,24.80838803,0.612568724,217.2621359,216.2433706,21.30709242,0.995310893,0.980582524,1.364684712,0.13446638,1.391708172,1.453728038,0.980191248,0.096581113,0.6742604,0.607601849,1269,1534,0.369180007,98,MSC,het,agarose,static,CM+,3,7,NA,,MSCs het differentiation in gels core,2/18/14,2/19/14,,y AC,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
22,A22,97,2.144329897,5.377401965,0.545992446,2.507730724,74.16494845,73.62088704,7.475068533,0.992664171,12.09278351,23.68195624,2.404538346,1.958354438,5.226804124,6.369695758,0.646744616,1.218659741,0.037227443,0.070551306,0.0071634,1.895142419,0.194096094,404,39,0.037673294,107,MSC,het,agarose,static,CM-,5,0,,FixDead,MSCs het differentiation in gels core,4/30/14,5/2/14,not really,y AC,,TMR is a bit inconsistent,,,,,,,,,,,,,
23,A24,113,6.884955752,24.14751992,2.27160759,3.507287597,79.43362832,75.20458716,7.074652454,0.946760066,39.75221239,57.25094057,5.385715453,1.440195077,6.646017699,14.69567499,1.382452814,2.211200099,0.083825384,0.248639455,0.023390032,2.966159443,0.116010373,402,192,0.013458407,109,MSC,het,agarose,static,CM-,5,1,,FixDead,MSCs het differentiation in gels core,5/6/14,5/7/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
24,A25,105,68.75238095,91.65621186,8.944730384,1.333135094,139.2857143,109.9078035,10.72590335,0.789081666,97.80952381,91.76811236,8.955650755,0.938232892,4.752380952,8.988005846,0.877139556,1.891263755,0.676017971,1.023850286,0.099917557,1.514531167,0.255622364,503,384,0.065342793,110,MSC,het,agarose,static,CM+,5,1,,FixDead,MSCs het differentiation in gels core,5/5/14,5/6/14,,y AC,,TMR is a bit inconsistent,,,,,,,,,,,,,
25,A3,35,84.11428571,110.5586806,18.68782786,1.314386488,270.9714286,136.240377,23.02882686,0.502785027,54.02857143,89.93608375,15.20197277,1.66460229,2.485714286,4.196437064,0.709327328,1.688221807,0.383291027,0.698265147,0.118028352,1.821762308,0.476762902,598,448,0.227302865,64,MSC,het,agarose,static,CM-,4,1,NA,,ultra thin gels test,10/24/13,10/25/13,,,AC,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
26,A32,47,3.085106383,15.70631248,2.291001136,5.09101163,112.3404255,82.95867924,12.10076704,0.73845794,1627.276596,2225.437609,324.6134379,1.367584106,12.46808511,21.10929227,3.079106738,1.693066104,0.04404065,0.149565498,0.02181637,3.396078325,-0.00270888,344,108,7.34E-06,117,MSC,het,agarose,static,CM-,5,21,,FixDead,MSCs het differentiation in gels core,6/12/14,6/13/14,,,,GFP to TMR bleedthrough,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
27,A33,39,59.07692308,70.89368787,11.35207535,1.200023362,84.46153846,74.97608256,12.00578168,0.887694967,820.8974359,973.9300687,155.9536238,1.186421136,0.487179487,0.555915313,0.089017693,1.141089327,0.757281765,0.654818822,0.104854929,0.864696407,0.772619189,303,253,0.596940411,118,MSC,het,agarose,static,CM+,5,21,,FixDead,MSCs het differentiation in gels core,6/13/14,6/14/14,,,,GFP to TMR bleedthrough,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
28,A38,47,56.19148936,100.207966,14.61683411,1.783329951,85.70212766,72.90968651,10.6349708,0.850733681,125.0638298,113.0785422,16.4942006,0.904166636,2.191489362,5.15261984,0.751586849,2.351195461,1.122161242,2.835079314,0.41353882,2.526445583,0.035606427,447,426,0.001267818,123,MSC,het,agarose,static,CM-,5,4,,,MSCs het differentiation in gels core,7/8/14,7/9/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
29,A39,48,148.0833333,103.0471558,14.87357578,0.695872746,62.29166667,42.49954109,6.134280372,0.68226688,73.60416667,64.94309771,9.373728736,0.882329094,0.9375,1.327391459,0.191592454,1.415884223,3.699416419,3.697270002,0.533654958,0.999419796,-0.113592085,164,393,0.012903162,124,MSC,het,agarose,static,CM+,5,4,,,MSCs het differentiation in gels core,7/8/14,7/9/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
30,A4,93,226.8064516,161.2766498,16.72360954,0.711076112,337.2043011,202.6226713,21.01099224,0.600889937,147.9462366,143.750642,14.90624719,0.971641086,2.258064516,3.280055758,0.340125938,1.452596122,0.70483761,0.53693269,0.055677326,0.761782123,0.336108733,1010,823,0.11296908,65,MSC,het,agarose,static,CM+,4,1,NA,,ultra thin gels test,10/28/13,10/29/13,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
31,A40,24,1.458333333,1.768791449,0.361053043,1.212885565,23.20833333,12.63872299,2.579868527,0.544576933,23.91666667,25.38043866,5.180760347,1.06120301,10.58333333,10.27414089,2.097200227,0.970784966,0.072299694,0.097743173,0.019951742,1.351916833,-0.012236523,39,7,0.000149733,125,MSC,het,agarose,static,CM-,5,7,,,MSCs het differentiation in gels core,7/24/14,7/25/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
32,A41,54,190.4814815,139.4273654,18.97366119,0.731973336,99.09259259,115.5817555,15.7286847,1.166401569,77.35185185,79.88367897,10.87079179,1.032731306,1.481481481,1.767000878,0.240458363,1.192725593,3.523624208,4.059496177,0.552427458,1.152079773,0.548241177,693,571,0.300568388,126,MSC,het,agarose,static,CM+,5,7,,,MSCs het differentiation in gels core,7/24/14,7/25/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
33,A42,41,7.658536585,26.27318952,4.103182845,3.430575702,42.85365854,32.33771867,5.050303176,0.754608119,8.707317073,14.77369944,2.307264218,1.696699375,7,10.17103731,1.588449159,1.45300533,0.178258928,0.490646529,0.076626114,2.752437333,0.177461295,103,121,0.031492511,127,MSC,het,agarose,static,CM-,5,14,,,MSCs het differentiation in gels core,7/9/14,7/10/14,,y AC,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
34,A43,54,179.7407407,97.1901822,13.22590858,0.540724278,53.31481481,42.1734174,5.739075185,0.791026238,37.68518519,66.22056457,9.011477427,1.757204171,0.703703704,0.767982646,0.104509201,1.09134376,5.461992009,5.318250425,0.723722215,0.973683304,0.152838411,203,416,0.02335958,128,MSC,het,agarose,static,CM+,5,14,,,MSCs het differentiation in gels core,7/9/14,7/10/14,,y AC,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
35,A60,105,62.60952381,82.96599109,8.096651676,1.325133718,153.1428571,94.76899328,9.248506746,0.618827382,194.5047619,164.0027629,16.00503082,0.843181222,3.523809524,5.824509286,0.568413904,1.652901284,0.577575026,1.010125458,0.098578151,1.748907783,0.173462139,465,354,0.030089114,146,MSC,het,agarose,static,CM-,7,1,,FixDead,MSCs het differentiation in gels core,6/4/14,6/5/14,,y AC,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
36,A61,93,358.311828,196.3071561,20.35610382,0.547866804,157.7634409,103.0334895,10.68407515,0.653088503,301.2365591,188.2944848,19.52522851,0.625071822,2.053763441,2.744027472,0.284542394,1.336097146,3.416082696,3.257741123,0.337812018,0.953648203,0.198031274,394,1073,0.039216386,147,MSC,het,agarose,static,CM+,7,1,,FixDead,MSCs het differentiation in gels core,6/11/14,6/12/14,,y AC,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
37,A62,47,43.36170213,85.64878372,12.49315911,1.975217289,83.06382979,59.54151064,8.685021943,0.716816342,140.1914894,128.6915149,18.77158673,0.917969525,4.617021277,4.651101746,0.678432917,1.007381484,0.726879487,1.191241646,0.173760453,1.638843394,0.153752489,250,480,0.023639828,148,MSC,het,agarose,static,CM-,7,4,,FixDead,MSCs het differentiation in gels core,6/26/14,6/27/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
38,A63,50,268.62,151.8793681,21.47898622,0.565406031,97.46,72.91628132,10.3119194,0.748166236,191.98,164.9720434,23.33057012,0.859318905,1.86,3.510974049,0.496526712,1.887620457,4.829101295,4.838133026,0.684215334,1.001870272,0.10676642,311,637,0.011399068,149,MSC,het,agarose,static,CM+,7,4,,FixDead,MSCs het differentiation in gels core,6/25/14,6/26/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
39,A66,53,8.622641509,31.30201911,4.299662998,3.630212282,116.7169811,95.96721743,13.18211111,0.822221553,49.58490566,91.26176088,12.53576694,1.840514964,51.37735849,58.19536937,7.993748756,1.132704582,0.160135354,0.764838834,0.105058694,4.776202225,-0.125780189,456,223,0.015820656,152,MSC,het,agarose,static,CM-,7,14,,FixDead,MSCs het differentiation in gels core,6/22/14,6/23/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
40,A67,51,223.5098039,138.1301376,19.34208806,0.618004826,156.3921569,114.7843332,16.07302157,0.73395198,229.0784314,154.2041301,21.59289722,0.67314993,0.784313725,1.688949087,0.236500177,2.153410086,2.94087987,6.03824012,0.845522738,2.053208695,0.405099016,555,652,0.164105212,153,MSC,het,agarose,static,CM+,7,14,,FixDead,MSCs het differentiation in gels core,6/19/14,6/20/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
41,A68,85,15.38823529,41.84497868,4.538725191,2.719283783,126.4941176,78.61806764,8.527326704,0.621515602,6.188235294,20.51625031,2.225299786,3.315363643,14.89411765,20.07605985,2.177554428,1.347918711,0.318889834,1.302082594,0.141230687,4.083173728,-0.145705255,344,330,0.021230021,154,MSC,het,agarose,static,CM-,7,21,,FixDead,MSCs het differentiation in gels core,6/2/14,6/3/14,,y AC,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
42,A69,75,64.57333333,80.34068898,9.276943682,1.244177509,125.2266667,88.4908872,10.21804751,0.706645713,17.2,49.45513938,5.710587606,2.875298801,0.333333333,0.827456757,0.095546476,2.482370271,0.637235482,0.992947365,0.114655686,1.558211044,0.602824682,517,446,0.363397597,155,MSC,het,agarose,static,CM+,7,21,,FixDead,MSCs het differentiation in gels core,6/3/14,6/4/14,,y AC,,sooooo many dead cells,,,,,,,,,,,,,
43,A7,17,139.2352941,136.2183584,33.03780471,0.978332105,72.29411765,64.93339348,15.74866117,0.898183636,78.52941176,88.52197301,21.46973205,1.127246098,1.470588235,2.741296387,0.664862033,1.864081543,3.021825417,3.457301191,0.838518705,1.14411017,0.241403046,197,380,0.05827543,68,MSC,het,agarose,static,CM-,4,14,NA,,ultra thin gels test,11/20/13,11/21/13,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
44,A76,74,9.810810811,31.74110842,3.689828905,3.235319591,82.78378378,57.17511439,6.646472043,0.690655969,24.94594595,50.46330333,5.866239856,2.022905984,12.63513514,15.46234872,1.797461529,1.223758081,0.210478335,0.692672099,0.080521496,3.290942499,-0.15433234,263,197,0.023818471,162,MSC,het,agarose,static,CM-,7,7,,,MSCs het differentiation in gels core,7/23/14,7/24/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
45,A77,65,444.8307692,146.2113805,18.13528977,0.328689899,250.6461538,187.8848909,23.30425257,0.74960213,354.3538462,236.3220413,29.31214167,0.666909768,0.907692308,1.40003434,0.173652888,1.542410714,2.822628666,2.356242853,0.292255957,0.83476898,0.243909216,866,747,0.059491705,163,MSC,het,agarose,static,CM+,7,7,,,MSCs het differentiation in gels core,7/23/14,7/24/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
46,A8,20,118.9,92.20566257,20.61781294,0.775489172,71.45,69.14856242,15.46208861,0.967789537,61.95,56.66194769,12.66999668,0.914639995,0.5,1.277332747,0.285620285,2.554665495,3.186021666,3.734023941,0.834953136,1.172002055,0.232693247,265,304,0.054146147,69,MSC,het,agarose,static,CM+,4,14,NA,,ultra thin gels test,11/20/13,,,,,,,,,,,,,,,,,,
47,A95,57,43.38596491,52.60253741,6.967376287,1.21243212,204.8596491,109.6047181,14.51749956,0.535023459,170.7368421,164.1077092,21.73659709,0.961173389,1.526315789,6.236715204,0.826073109,4.086123755,0.337615873,0.72406808,0.09590516,2.144650588,0.164030544,450,202,0.026906019,185,MSC,het,agarose,static,basal,8,7,,,Fig 1 - MSCs on different substrates,7/29/14,7/30/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
48,A96,65,242.7076923,117.0241325,14.51505722,0.482160789,199.8153846,97.82859569,12.1341439,0.489594912,104.5230769,127.1306055,15.76861092,1.216292223,0.538461538,0.936698375,0.116183134,1.739582697,1.374040168,0.765973125,0.095007273,0.557460504,0.679291914,431,629,0.461437504,194,chondrocyte,het,agarose,static,basal,1B,1,0,FixDead,chondrocyte redifferentiation core,7/7/14,7/8/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
49,A97,56,259,85.8154468,11.46757144,0.331333771,129.8214286,73.99781499,9.888373967,0.569996924,39.08928571,62.458212,8.346329654,1.597834569,0.482142857,0.738329107,0.098663377,1.531349259,2.712342169,2.035689722,0.272030482,0.750528361,0.388265363,326,345,0.150749992,195,chondrocyte,het,agarose,static,basal,1B,14,0,FixDead,chondrocyte redifferentiation core,7/7/14,7/8/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
50,G1,70,5.185714286,8.905775454,1.064443761,1.717367167,1215.571429,465.2168131,55.60404446,0.382714501,NA,NA,NA,NA,116.1142857,146.0003517,17.45037973,1.257384919,0.004347479,0.007465379,0.000892283,1.717174369,0.206011592,2435,45,0.042440776,1,MSC,het,glass,static,CM-,,NA,,,,6/24/13,6/25/13,y,y,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
51,G10,125,19.2,33.39306476,2.986766511,1.739222123,710.272,292.9501602,26.20225889,0.412447851,NA,NA,NA,NA,3.152,10.13621422,0.906610561,3.215804004,0.027833031,0.053282461,0.004765728,1.91436069,0.158663947,1540,184,0.025174248,35,MFC,out,glass,static,CM-,,4,,,meniscus cells on scaffold (also comparison with glass),8/25/13,8/26/13,y,y,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
