"","Cell.Type","Clone","Substrate","Loading","Media","Donor","Days.CM","Passage","Pre.Fix.Stain","Post.Fix.Stain","Experiment.ID","Purpose","Date.FISHed","Date.Imaged","ImageObject.","Folder","Good.","Data.Processed.","FISHed.Processed.By","Notes","Treatment.Type","Treatment.Length","GFP.dye","GFP.type","GFP.target","alexa.dye","alexa.target","TMR.dye","TMR.target","cy.dye","cy.target","nir.dye","nir.target","dapi.dye","dapi.target"
"28","MSC","het","glass","static","CM+","",0,"","","","G5","glass and scaffold direct comparison","2013-08-20","2013-08-22","","/2013-08-22","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"29","MSC","het","glass","static","CM-","",4,"","","","G6","glass and scaffold direct comparison","","","","","","","","","","","","","","","","","","","","","","",""
"30","MSC","het","glass","static","CM+","",4,"","","","G7","glass and scaffold direct comparison","","","","","","","","","","","","","","","","","","","","","","",""
"31","MFC","in","scaffold","static","CM-","",4,"","","","S24","meniscus cells on scaffold (also comparison with glass)","2013-08-29","2013-08-30","","/2013-08-30/MFC in","ish","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"32","MFC","out","scaffold","static","CM-","",4,"","","","S25","meniscus cells on scaffold (also comparison with glass)","2013-08-29","2013-08-30","","/2013-08-30/MFC out","ish","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"33","MFC","in","glass","static","CM-","",4,"","","","G8","meniscus cells on scaffold (also comparison with glass)","2013-08-25","2013-08-26","","/2013-08-26/MFC in","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"34","MFC","in","glass","static","CM+","",4,"","","","G9","meniscus cells on scaffold (also comparison with glass)","","","","","","","","","","","","","","","","","","","","","","",""
"35","MFC","out","glass","static","CM-","",4,"","","","G10","meniscus cells on scaffold (also comparison with glass)","2013-08-25","2013-08-26","","/2013-08-26/MFC out","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"36","MFC","out","glass","static","CM+","",4,"","","","G11","meniscus cells on scaffold (also comparison with glass)","","","","","","","","","","","","","","","","","","","","","","",""
"37","chondrocyte","het","glass","static","CM-","1",NA,"0","","","G12","testing new adipo/osteo probes on cells on glass","2013-08-26","2013-08-27","","/2013-08-27/Donor1","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"38","chondrocyte","het","glass","static","CM-","2",NA,"0","","","G13","testing new adipo/osteo probes on cells on glass","2013-08-26","2013-08-27","","/2013-08-27/Donor2","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"39","MSC","het","glass","static","CM-","",0,"","","","G14","testing new adipo/osteo probes on cells on glass","2013-09-16","2013-09-17","","/2013-09-17/CM Minus","y","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"40","MSC","het","glass","static","CM+","",0,"","","","G15","testing new adipo/osteo probes on cells on glass","2013-09-16","2013-09-17","","/2013-09-17/CM Plus","y","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"41","chondrocyte","het","glass","static","CM-","1",NA,"2","","","G16","testing new adipo/osteo probes on cells on glass","","","","","","","","","","","","","","","","","","","","","","",""
"42","chondrocyte","het","glass","static","CM-","2",NA,"2","","","G17","testing new adipo/osteo probes on cells on glass","","","","","","","","","","","","","","","","","","","","","","",""
"43","chondrocyte","het","glass","static","CM-","1",NA,"3","","","G18","testing new adipo/osteo probes on cells on glass","2013-09-19","2013-09-19","","/2013-09-19","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"44","chondrocyte","het","glass","static","CM-","2",NA,"3","","","G19","testing new adipo/osteo probes on cells on glass","2013-09-19","2013-09-19","","/2013-09-19","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"45","MSC","het","pellet","static","CM-","NA",0,"","","","T1","test of MSCs in pellets","2013-09-16","2013-09-17","","/2013-09-17/pellet","n","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"46","MSC","het","glass","static","Adipo","NA",7,"","","phalloidin","G20","adipo/osteo media to test for expression of new adipo/osteo test genes","2013-09-24","2013-09-26","","/2013-09-26/adipo","","","","","","","atto488","phalloidin","actin","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"47","MSC","het","glass","static","Osteo","NA",7,"","","phalloidin","G21","adipo/osteo media to test for expression of new adipo/osteo test genes","2013-09-24","2013-09-26","","/2013-09-26/osteo","","","","","","","atto488","phalloidin","actin","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"48","chondrocyte","het","glass","static","Basal","4",NA,"-1","","","G22","chondrocyte dedifferentiation core","2013-10-08","2013-10-09","","/2013-10-09","?","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"49","chondrocyte","het","agarose","static","Basal","NA",NA,"","","","A1","test of random cells in agarose ","2013-10-06","2013-10-07","","/2013-10-08","n","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"50","chondrocyte","het","glass","static","Basal","4",NA,"0","","","G23","chondrocyte dedifferentiation core","2013-10-15","2013-10-16","","/2013-10-16/Donor4","","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"51","chondrocyte","het","glass","static","Basal","6",NA,"0","","","G24","chondrocyte dedifferentiation core","2013-10-15","2013-10-16","","/2013-10-16/Donor6","","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"52","chondrocyte","het","glass","static","Basal","6",NA,"-1","","","G25","chondrocyte dedifferentiation core","2013-10-14","2013-10-15","","/2013-10-15","","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"53","chondrocyte","het","agarose","static","Basal","4",NA,"0","","","A2","chondrocytes in agarose test","2013-10-14","2013-10-15","","/2013-10-15/gel","","","","mixed fixed chondrocytes with agarose and made 6uL gels","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"54","chondrocyte","het","glass","static","Basal","4",NA,"1","","","G26","chondrocyte dedifferentiation core","2013-10-17","2013-10-18","","/2013-10-18","y","y","CM","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"55","chondrocyte","het","glass","static","Basal","6",NA,"1","","","G27","chondrocyte dedifferentiation core","2013-10-17","2013-10-18","","/2013-10-18","y","y","CM","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"56","chondrocyte","het","glass","static","Basal","4",NA,"2","","","G28","chondrocyte dedifferentiation core","2013-10-27","2013-10-28","","/2013-10-28","y","y","CM","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"57","chondrocyte","het","glass","static","Basal","6",NA,"2","","","G29","chondrocyte dedifferentiation core","2013-10-27","2013-10-28","","/2013-10-28","y","y","CM","some unsegmented but overlapping cells not analyzed","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"58","chondrocyte","het","glass","static","Basal","4",NA,"3","","","G30","chondrocyte dedifferentiation core","2013-10-30","2013-10-31","","/2013-10-31/D4","","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"59","chondrocyte","het","glass","static","Basal","6",NA,"3","","","G31","chondrocyte dedifferentiation core","2013-10-30","2013-10-31","","/2013-10-31/D6","","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"60","chondrocyte","het","glass","static","Basal","4",NA,"4","","","G32","chondrocyte dedifferentiation core","","","","","","","","","","","","","","","","","","","","","","",""
"61","chondrocyte","het","glass","static","Basal","6",NA,"4","","","G33","chondrocyte dedifferentiation core","","","","","","","","","","","","","","","","","","","","","","",""
"62","chondrocyte","het","glass","static","Basal","4",NA,"5","","","G34","chondrocyte dedifferentiation core","2014-04-17","2014-04-18","","/2014-04-18/Don4 - P5","y","y","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"63","chondrocyte","het","glass","static","Basal","6",NA,"5","","","G35","chondrocyte dedifferentiation core","2014-04-17","2014-04-18","","/2014-04-18/Don6 - P5","y","y","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"64","MSC","het","agarose","static","CM-","4",1,"NA","","","A3","ultra thin gels test","2013-10-24","2013-10-25","","/2013-10-25","","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"65","MSC","het","agarose","static","CM+","4",1,"NA","","","A4","ultra thin gels test","2013-10-28","2013-10-29","","/2013-10-29","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"66","MSC","het","agarose","static","CM-","4",7,"NA","","","A5","ultra thin gels test","","","","","","","","","","","","","","","","","","","","","","",""
"67","MSC","het","agarose","static","CM+","4",7,"NA","","","A6","ultra thin gels test","","","","","","","","","","","","","","","","","","","","","","",""
"68","MSC","het","agarose","static","CM-","4",14,"NA","","","A7","ultra thin gels test","2013-11-20","2013-11-21","","/2013-11-21/CM Minus","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"69","MSC","het","agarose","static","CM+","4",14,"NA","","","A8","ultra thin gels test","2013-11-20","2013-11-21","","/2013-11-21/CM Plus","","","","","","","","","","","","","","","","","","",""
"70","adipocyte","het","glass","static","NA","6",NA,"tissue","","","","tissue FISH test","2013-11-19","2013-11-20","","/2013-11-20/fat","","","","","","","","","","","","","","","","","","",""
"71","chondrocyte","het","glass","static","NA","6",NA,"tissue","","","","tissue FISH test","2013-11-19","2013-11-20","","/2013-11-20/cartilage","","","","","","","","","","","","","","","","","","",""
"72","MSC","het","agarose","static","CM-","4",28,"NA","","","A9","ultra thin gels test","","","","","","","","","","","","","","","","","","","","","","",""
"73","MSC","het","agarose","static","CM+","4",28,"NA","","","A10","ultra thin gels test","","","","","","","","","","","","","","","","","","","","","","",""
"74","chondrocyte","het","glass","static","Basal","4",NA,"7","","","G36","chondrocyte dedifferentiation core","2013-11-21","2013-11-22","","/2013-11-22/Donor 4","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"75","chondrocyte","het","glass","static","Basal","6",NA,"7","","","G37","chondrocyte dedifferentiation core","2013-11-21","2013-11-22","","/2013-11-22/Donor 6","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"76","chondrocyte","het","glass","static","Basal","4",NA,"9","","","G38","chondrocyte dedifferentiation core","2013-12-12","2013-12-13","","/2013-12-13/ChonP9 D4","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"77","chondrocyte","het","glass","static","Basal","6",NA,"9","","","G39","chondrocyte dedifferentiation core","2013-12-12","2013-12-13","","/2013-12-13/ChonP9 D6","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"78","chondrocyte","het","glass","static","Basal","1",NA,"0","","","G40","chondrocyte dedifferentiation core","2014-01-23","2014-01-24","","/2014-01-24/Donor 1","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"79","chondrocyte","het","glass","static","Basal","4B",NA,"0","","","G41","chondrocyte dedifferentiation core","2014-01-23","2014-01-24","","/2014-01-24/Donor 4B","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"80","chondrocyte","het","glass","static","Basal","1",NA,"1","","","G42","chondrocyte dedifferentiation core","2014-01-27","2014-01-28","","/2014-01-28/Donor 1","","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"81","chondrocyte","het","glass","static","Basal","4B",NA,"1","","","G43","chondrocyte dedifferentiation core","2014-01-27","2014-01-28","","/2014-01-28/Donor 4B","","Y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"82","chondrocyte","het","glass","static","Basal","1",NA,"3","","","G44","chondrocyte dedifferentiation core","2014-03-18","2014-03-19","","/2014-03-19/Don1","","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"83","chondrocyte","het","glass","static","Basal","4B",NA,"3","","","G45","chondrocyte dedifferentiation core","2014-03-18","2014-03-19","","/2014-03-19/Don4B","","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"84","chondrocyte","het","glass","static","Basal","1",NA,"5","","","G46","chondrocyte dedifferentiation core","2014-02-17","2014-02-18","","/2014-02-18/Don1","ish","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"85","chondrocyte","het","glass","static","Basal","4B",NA,"5","","","G47","chondrocyte dedifferentiation core","2014-02-17","2014-02-18","","/2014-02-18/Don4b","ish","Y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"86","chondrocyte","het","glass","static","Basal","1",NA,"7","","","G48","chondrocyte dedifferentiation core","2014-03-24","2014-03-25","","/2014-03-25/Don1","ish","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"87","chondrocyte","het","glass","static","Basal","4B",NA,"7","","","G49","chondrocyte dedifferentiation core","2014-03-24","2014-03-25","","/2014-03-25/Don4B","ish","Y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"88","MSC","het","agarose","static","CM-","3",1,"NA","","","A11","MSCs het differentiation in gels core","2014-03-04","2014-03-05","","/2014-03-05","","y AC","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"89","MSC","het","agarose","static","CM+","3",1,"NA","","","A12","MSCs het differentiation in gels core","2014-02-04","2014-02-05","","/2014-02-05","","y AC","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"90","MSC","het","agarose","static","CM-","3",4,"NA","","","A13","MSCs het differentiation in gels core","2014-03-06","2014-03-07","","/2014-03-07","","y AC","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"91","MSC","het","agarose","static","CM+","3",4,"NA","","","A14","MSCs het differentiation in gels core","2014-02-19","2014-02-20","","/2014-02-20","","y AC","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"92","MSC","het","agarose","static","CM-","3",7,"NA","","","A15","MSCs het differentiation in gels core","2014-02-12","2014-02-14","","/2014-02-14","","y AC","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"93","MSC","het","agarose","static","CM+","3",7,"NA","","","A16","MSCs het differentiation in gels core","2014-02-10","2014-02-11","","/2014-02-11","","y AC","","(didn't look good, redid it as A21)","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"94","MSC","het","agarose","static","CM-","3",14,"NA","","","A17","MSCs het differentiation in gels core","2014-03-11","2014-03-12","","/2014-03-12","","y AC","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"95","MSC","het","agarose","static","CM+","3",14,"NA","","","A18","MSCs het differentiation in gels core","2014-02-26","2014-02-27","","/2014-02-27","","y AC","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"96","MSC","het","agarose","static","CM-","3",21,"NA","","","A19","MSCs het differentiation in gels core","2014-03-03","2014-03-04","","/2014-03-04","","y AC","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"97","MSC","het","agarose","static","CM+","3",21,"NA","","","A20","MSCs het differentiation in gels core","2014-02-25","2014-02-26","","/2014-02-26","","y AC","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"98","MSC","het","agarose","static","CM+","3",7,"NA","","","A21","MSCs het differentiation in gels core","2014-02-18","2014-02-19","","/2014-02-19","","y AC","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"99","chondrocyte","het","glass","static","Basal","1",NA,"9","","","G50","chondrocyte dedifferentiation core","2014-03-26","2014-03-27","","/2014-03-27/Don1","","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"100","chondrocyte","het","glass","static","Basal","4B",NA,"9","","","G51","chondrocyte dedifferentiation core","2014-03-26","2014-03-27","","/2014-03-27/Don4B","","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"101","MSC","het","glass","static","CM+","",NA,"","","","G52","live imaging test","2014-07-16","2014-07-17","","/2014-07-17_timelapse_FISH/timelapse_FISH_bigpos1, /2014-07-17_timelapse_FISH/timelapse_FISH_bigpos2","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"102","MSC","het","glass","static","CM-","",NA,"","","","G53","live imaging test","2014-07-16","2014-07-17","","/2014-07-17_timelapse_FISH/timelapse_FISH_bigpos3, /2014-07-17_timelapse_FISH/timelapse_FISH_bigpos4","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"103","MSC","het","glass","static","Basal","",NA,"","","","G54","live imaging test","2014-07-16","2014-07-17","","/2014-07-17_timelapse_FISH/timelapse_FISH_bigpos5, /2014-07-17_timelapse_FISH/timelapse_FISH_bigpos6","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"104","MSC","het","glass","static","Basal Imaging","",NA,"","","","G55","live imaging test","2014-07-16","2014-07-17","","/2014-07-17_timelapse_FISH/timelapse_FISH_bigpos7, /2014-07-17_timelapse_FISH/timelapse_FISH_bigpos8","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"105","chondrocyte","het","glass","static","Basal","1",NA,"0","","","G56","chondrocyte dedifferentiation core","2014-03-27","2014-03-28","","/2014-03-28/Don1","","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"106","chondrocyte","het","glass","static","Basal","4B",NA,"0","","","G57","chondrocyte dedifferentiation core","2014-03-27","2014-03-28","","/2014-03-28/Don4B","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"107","MSC","het","agarose","static","CM-","5",0,"","FixDead","","A22","MSCs het differentiation in gels core","2014-04-30","2014-05-02","","/2014-05-02_D0_FD_gel","not really","y AC","","TMR is a bit inconsistent, maybe due to FD staining?","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"108","MSC","het","agarose","static","CM+","5",0,"","FixDead","","A23","MSCs het differentiation in gels core","","","","","","","","","","","","","","","","","","","","","","",""
"109","MSC","het","agarose","static","CM-","5",1,"","FixDead","","A24","MSCs het differentiation in gels core","2014-05-06","2014-05-07","new?","/2014-05-07_D1_FD_gel_CMminus","","","","","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"110","MSC","het","agarose","static","CM+","5",1,"","FixDead","","A25","MSCs het differentiation in gels core","2014-05-05","2014-05-06","old","/2014-05-06_D1_FD_gel_CMplus","","y AC","","TMR is a bit inconsistent, maybe due to FD staining?","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"111","MSC","het","agarose","static","CM-","5",4,"","FixDead","","A26","MSCs het differentiation in gels core","","","","","","","","","","","","","","","","","","","","","","",""
"112","MSC","het","agarose","static","CM+","5",4,"","FixDead","","A27","MSCs het differentiation in gels core","","","","","","","","","","","","","","","","","","","","","","",""
"113","MSC","het","agarose","static","CM-","5",7,"","FixDead","","A28","MSCs het differentiation in gels core","","","","","","","","","","","","","","","","","","","","","","",""
